# experiment: CSTR Saponification Kinetics
# course: CHE 344 - Reaction Engineering
# student: A. Student
# date: 2024-03-15
#
# Problem: Determine rate constant k, activation energy Ea, and verify balances
#
# Reaction: CH3COOC2H5 + NaOH → CH3COONa + C2H5OH
#           (ethyl acetate + sodium hydroxide → sodium acetate + ethanol)
#           Second order: r = k*C_EA*C_NaOH
#
# experiment_type = cstr_kinetics
# reaction = saponification
# reaction_order = 2
#
# Experiment constants (add to header for PRISM):
# reactor_volume_L = 2.5
# feed_flow_rate_mL_min = 50
# feed_concentration_EA_mol_L = 0.1
# feed_concentration_NaOH_mol_L = 0.1
# feed_temperature_C = 25
# heat_capacity_J_molK = 75.3
# density_kg_m3 = 1020
# viscosity_Pa_s = 0.00102
# pipe_diameter_m = 0.0127
# heat_of_reaction_J_mol = -75300
# gas_constant_J_molK = 8.314
#
# Run at 5 different temperatures to get Arrhenius parameters
# Each run: wait for steady state, record outlet concentrations
#
run_id,timestamp_min,temperature_K,inlet_C_EA_mol_L,inlet_C_NaOH_mol_L,outlet_C_EA_mol_L,outlet_C_NaOH_mol_L,outlet_C_product_mol_L,flow_rate_mL_min,jacket_temp_K,stirrer_rpm
run_1,0,298.15,0.100,0.100,0.0721,0.0721,0.0279,50.0,298.15,300
run_1,5,298.15,0.100,0.100,0.0718,0.0718,0.0282,50.0,298.15,300
run_1,10,298.15,0.100,0.100,0.0723,0.0723,0.0277,50.0,298.15,300
run_1,15,298.15,0.100,0.100,0.0719,0.0719,0.0281,50.0,298.15,300
run_1,20,298.15,0.100,0.100,0.0720,0.0720,0.0280,50.0,298.15,300
run_2,0,308.15,0.100,0.100,0.0534,0.0534,0.0466,50.0,308.15,300
run_2,5,308.15,0.100,0.100,0.0531,0.0531,0.0469,50.0,308.15,300
run_2,10,308.15,0.100,0.100,0.0537,0.0537,0.0463,50.0,308.15,300
run_2,15,308.15,0.100,0.100,0.0533,0.0533,0.0467,50.0,308.15,300
run_2,20,308.15,0.100,0.100,0.0535,0.0535,0.0465,50.0,308.15,300
run_3,0,318.15,0.100,0.100,0.0378,0.0378,0.0622,50.0,318.15,300
run_3,5,318.15,0.100,0.100,0.0381,0.0381,0.0619,50.0,318.15,300
run_3,10,318.15,0.100,0.100,0.0376,0.0376,0.0624,50.0,318.15,300
run_3,15,318.15,0.100,0.100,0.0379,0.0379,0.0621,50.0,318.15,300
run_3,20,318.15,0.100,0.100,0.0377,0.0377,0.0623,50.0,318.15,300
run_4,0,328.15,0.100,0.100,0.0261,0.0261,0.0739,50.0,328.15,300
run_4,5,328.15,0.100,0.100,0.0258,0.0258,0.0742,50.0,328.15,300
run_4,10,328.15,0.100,0.100,0.0263,0.0263,0.0737,50.0,328.15,300
run_4,15,328.15,0.100,0.100,0.0260,0.0260,0.0740,50.0,328.15,300
run_4,20,328.15,0.100,0.100,0.0259,0.0259,0.0741,50.0,328.15,300
run_5,0,338.15,0.100,0.100,0.0178,0.0178,0.0822,50.0,338.15,300
run_5,5,338.15,0.100,0.100,0.0175,0.0175,0.0825,50.0,338.15,300
run_5,10,338.15,0.100,0.100,0.0180,0.0180,0.0820,50.0,338.15,300
run_5,15,338.15,0.100,0.100,0.0177,0.0177,0.0823,50.0,338.15,300
run_5,20,338.15,0.100,0.100,0.0176,0.0176,0.0824,50.0,338.15,300
